\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;moveMethod;moveAttribute;deleteClass;introduceNewPackageForSingleClass;newPackageForImplementations;joinClassesWithCommonSuperclass;
decapsulateAttribute;119;38;3;0;1;1;0;5;
pullUpEncapsulatedAttribute;11;10;1;1;0;1;1;2;
moveMethod;1;1;0;0;0;0;0;0;
moveAttribute;1;0;0;1;0;0;0;1;
deleteClass;2;3;1;0;0;1;2;2;
introduceNewPackageForSingleClass;1;1;1;0;1;1;1;0;
newPackageForImplementations;1;1;0;0;0;1;5;2;
joinClassesWithCommonSuperclass;4;45;1;1;1;0;21;222;
SUM:;=SUMME(B2:CCC9);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC9."TO");
MAXIMUM:;=MAX(B2:CCC9);
AVERAGE:;=MITTELWERT(B2:CCC9);
